Full_Address,Address_Lat,Address_Lng
"6500 El Camino Del Teatro, La Jolla, CA 92037, USA",32.8301963,-117.262811
"500 Rosecrans St, San Diego, CA 92106, USA",32.7114312,-117.2380879
"Palm Ave, San Diego, CA 92123, USA",32.8024925,-117.1405524
"3100 Logan Ave, San Diego, CA 92113, USA",32.6969918,-117.1272782
"6200 Division St, San Diego, CA 92114, USA",32.695031,-117.0646369
"4100 Gesner St, San Diego, CA 92117, USA",32.791904,-117.2053248
"Clairemont Dr, San Diego, CA, USA",32.8117985,-117.2009211
"700 11th Ave, San Diego, CA 92101, USA",32.7126032,-117.1546784
"1800 Via Los Tonadas, San Diego, CA 92173, USA",32.563187,-117.057632
"4300 Fairmount Ave, San Diego, CA 92116, USA",32.7554092,-117.1011396
"3000 Coronado Ave, San Diego, CA 92154, USA",32.5769436,-117.0687071
"2000 Abbott St, San Diego, CA 92107, USA",32.7496535,-117.2513402
"3500 Ocean Front Walk, San Diego, CA 92109, USA",32.7782846,-117.2532281
"518 Third Ave, San Diego, CA 92101, USA",32.7107902,-117.1620953
"12300 Carmel Country Rd, San Diego, CA 92130, USA",32.9471254,-117.2268884
"3878 Dalbergia Ct, San Diego, CA 92113, USA",32.68341,-117.110781
"1000 F St, San Diego, CA 92101, USA",32.7136316,-117.1555807
"4700 Convoy St, San Diego, CA 92111, USA",32.8267982,-117.1543743
"1300 Mar Reef Cove, San Diego, CA 92154, USA",32.5711116,-117.0120468
"8300 Navajo Rd, San Diego, CA 92119, USA",32.8031046,-117.0106066
"7400 La Jolla Blvd, La Jolla, CA 92037, USA",32.8374715,-117.2782418
"1200 Benicia St, San Diego, CA 92110, USA",32.7666886,-117.1918122
"6800 Carmel Valley Rd, San Diego, CA 92130, USA",32.9697091,-117.1755821
"600 Market St, San Diego, CA 92101, USA",32.7115391,-117.1592068
"4400 Boston Ave, San Diego, CA 92113, USA",32.6932339,-117.1001347
"7500 Deville Dr, San Diego, CA 92114, USA",32.7206901,-117.0382999
"2900 Alta View Dr, San Diego, CA 92139, USA",32.6758738,-117.0401937
"4600 Morena Blvd, San Diego, CA 92117, USA",32.8231083,-117.2280005
"Miguel Vista Pl, San Diego, CA 92114, USA",32.7020541,-117.0216916
"1900 Quivira Way, San Diego, CA 92109, USA",32.7600288,-117.2332697
"500 Euclid Ave, San Diego, CA 92114, USA",32.7104808,-117.0851205
"4900 Canterbury Dr, San Diego, CA 92116, USA",32.7675196,-117.1089368
"2200 Alta View Dr, San Diego, CA 92139, USA",32.6823281,-117.0484608
"2400 Cushing Rd, San Diego, CA 92106, USA",32.7358302,-117.2132788
"3100 Pershing Dr, San Diego, CA 92102, USA",32.737383,-117.1343982
"7900 Caminito Santaluz W, San Diego, CA 92127, USA",32.9863317,-117.1541548
"2900 Hartford Ct, San Diego, CA 92117, USA",32.7922426,-117.1989015
"5300 Streamview Dr, San Diego, CA 92105, USA",32.7440899,-117.0820011
"4500 Kearny Villa Rd, San Diego, CA 92123, USA",32.8233622,-117.144307
"5800 Copley Dr, San Diego, CA 92111, USA",32.8415486,-117.1716496
"3400 Rosecrans St, San Diego, CA 92110, USA",32.7493542,-117.2065976
"4500 La Jolla Village Dr, San Diego, CA 92122, USA",32.8740937,-117.2094229
"4400 W Point Loma Blvd, San Diego, CA 92107, USA",32.7524457,-117.2308802
"10200 Scripps Poway Pkwy, San Diego, CA 92131, USA",32.9364613,-117.110508
"8400 Genesee Ave, San Diego, CA 92122, USA",32.8673729,-117.2138611
"5100 Convoy St, San Diego, CA 92111, USA",32.8345304,-117.1528753
"1200 Sunset Cliffs Blvd, San Diego, CA 92107, USA",32.7325193,-117.2559617
"4000 30th St, San Diego, CA 92104, USA",32.7503433,-117.1301643
"11300 Carmel Mountain Rd, San Diego, CA 92128, USA",32.9789085,-117.0853114
"2800 54th St, San Diego, CA 92105, USA",32.7348653,-117.0797262
"3100 Sports Arena Blvd, San Diego, CA 92110, USA",32.7519338,-117.2053239
"4300 Eastgate Mall, San Diego, CA 92121, USA",32.8781719,-117.2118152
"3900 Utah St, San Diego, CA 92104, USA",32.7485395,-117.1329713
"9700 Caminito Cuadro, San Diego, CA 92129, USA",32.9611755,-117.1167501
"12100 Rancho Bernardo Rd, San Diego, CA 92128, USA",33.0221865,-117.0685582
"3100 Ash St, San Diego, CA 92102, USA",32.7202357,-117.1274827
"3700 Shiloh Rd, San Diego, CA 92105, USA",32.7467152,-117.0815303
"600 A St, San Diego, CA 92101, USA",32.7188538,-117.1592903
"9300 Miramar Rd, San Diego, CA 92126, USA",32.893823,-117.1270269
